artist_full_name,cultivar_name,fruit_common_name,fruit_origin_country,fruit_origin_polity,fruit_scientific_name,fruit_variety,image_created_year,image_url,is_originpolity_largest_producer,is_usda_recognized_plant_family,pomological_Id
Passmore Deborah Griscom,plum and prune,plums,United States, Kansas,prunus domestica,Lombard,1902.0,/POM00004941.jpg,False,True,POM00004941
Passmore Deborah Griscom,plum and prune,plums,United States, Iowa,prunus domestica,Lombard,1897.0,/POM00004942.jpg,False,True,POM00004942
Heiges Bertha,plum and prune,plums,United States, Iowa,prunus domestica,Lota,1901.0,/POM00004917.jpg,False,True,POM00004917
Steadman Royal Charles,plum and prune,plums,United States, Michigan,prunus domestica,Mackinan,1924.0,/POM00004943.jpg,False,True,POM00004943
Passmore Deborah Griscom,plum and prune,plums,United States, Pennsylvania,prunus domestica,Madison,1894.0,/POM00004944.jpg,False,True,POM00004944
Newton Amanda Almira,plum and prune,plums,United States, Missouri,prunus domestica,Mammoth Gold,1915.0,/POM00004945.jpg,False,True,POM00004945
Newton Amanda Almira,plum and prune,plums,United States, Missouri,prunus domestica,Mammoth Gold,1915.0,/POM00004946.jpg,False,True,POM00004946
Passmore Deborah Griscom,plum and prune,plums,United States, Indiana,prunus domestica,Marais des Cygnes,1896.0,/POM00004947.jpg,False,True,POM00004947
Heiges Bertha,plum and prune,plums,United States, North Carolina,prunus domestica,Margaret,1898.0,/POM00004956.jpg,False,True,POM00004956
Newton Amanda Almira,plum and prune,plums,United States, Maryland,prunus domestica,Marianna,1912.0,/POM00000856.jpg,False,True,POM00000856
Heiges Bertha,plum and prune,plums,United States, Texas,prunus domestica,Marketman,1903.0,/POM00004948.jpg,False,True,POM00004948
Passmore Deborah Griscom,plum and prune,plums,United States, Michigan,prunus domestica,Maru,1900.0,/POM00004949.jpg,False,True,POM00004949
Passmore Deborah Griscom,plum and prune,plums,United States, Michigan,prunus domestica,Marunka,1895.0,/POM00004950.jpg,False,True,POM00004950
Passmore Deborah Griscom,plum and prune,plums,United States, Texas,prunus domestica,Mason,1903.0,/POM00004951.jpg,False,True,POM00004951
Arnold Mary Daisy,plum and prune,plums,United States, Missouri,prunus domestica,McCartney,1911.0,/POM00004953.jpg,False,True,POM00004953
Passmore Deborah Griscom,plum and prune,plums,United States, New York,prunus domestica,McLaughlin,1910.0,/POM00004954.jpg,False,True,POM00004954
Arnold Mary Daisy,plum and prune,plums,United States, Texas,prunus domestica,McRea,1915.0,/POM00004955.jpg,False,True,POM00004955
Passmore Deborah Griscom,plum and prune,plums,United States, Michigan,prunus domestica,Merunka,1898.0,/POM00004952.jpg,False,True,POM00004952
